Comment,Designator,Footprint
200 C17540,"R6,R7,R5",R_0805_2012Metric
,A1,Arduino_UNO_R3
SN75175D,U3,SOIC127P600X175-16N
0.1uF C49678,"C1,C2",C_0805_2012Metric
C8465 ,"J3,J4,J5,J6",TerminalBlock_bornier-2_P5.08mm
5k C78980,R1,R_0805_2012Metric
2k C17604,"R2,R3,R4",R_0805_2012Metric
,U1,MODULE_ABX00027
TXS0104ED,U2,SOIC127P600X175-14N
C5665 ,J1,PinSocket_2x05_P2.54mm_Vertical
C11214 ,J7,PinSocket_2x03_P2.54mm_Vertical
,"JP1,JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm
,"TP A,TP B,TP I,TP leftPWM,TP rightPWM,TP VUSB,TP 3V3",TestPoint_Pad_D2.0mm
,"TP GND,TP GND",TestPoint_Pad_4.0x4.0mm
